Graduated,Profession,Work_Experience,Family_Size,Spending_Score
Yes,Entertainment,7.0,2.0,Low
No,Engineer,1.0,2.0,Low
No,Engineer,1.0,1.0,Low
No,Healthcare,3.0,,Low
No,Healthcare,8.0,3.0,Low
No,Homemaker,9.0,2.0,Average
Yes,Healthcare,9.0,3.0,Low
No,Executive,1.0,5.0,Average
No,Lawyer,1.0,1.0,Low
,Healthcare,8.0,5.0,Low
No,,1.0,5.0,Low
No,Healthcare,0.0,4.0,Low
No,Lawyer,0.0,1.0,Low
Yes,Artist,4.0,2.0,Low
No,Healthcare,8.0,4.0,Low
Yes,Doctor,1.0,1.0,Low
,Lawyer,1.0,1.0,Low
Yes,Doctor,0.0,,Low
Yes,Artist,1.0,1.0,Low
No,Entertainment,0.0,5.0,Low
Yes,Healthcare,8.0,4.0,Low
Yes,Artist,9.0,1.0,Low
Yes,,0.0,2.0,Low
No,Healthcare,2.0,5.0,Low
Yes,Entertainment,0.0,4.0,Low
Yes,Artist,13.0,1.0,Low
Yes,Artist,6.0,2.0,Average
Yes,Homemaker,6.0,1.0,Low
Yes,Entertainment,1.0,4.0,Low
Yes,Engineer,0.0,4.0,Average
Yes,Artist,0.0,2.0,Average
No,Lawyer,1.0,2.0,Low
No,Engineer,0.0,4.0,Low
Yes,Homemaker,6.0,7.0,Low
,Lawyer,,,Low
Yes,Doctor,1.0,4.0,Average
No,Healthcare,13.0,4.0,Low
Yes,Artist,5.0,1.0,Low
Yes,Engineer,1.0,3.0,Average
Yes,Executive,1.0,4.0,High
Yes,Executive,0.0,4.0,High
Yes,Artist,0.0,3.0,Low
Yes,Engineer,0.0,1.0,Low
Yes,Artist,0.0,2.0,Average
Yes,Entertainment,1.0,1.0,Low
No,Artist,0.0,5.0,Average
No,Doctor,,5.0,Low
Yes,Entertainment,5.0,2.0,Average
No,Artist,8.0,3.0,Average
Yes,Healthcare,6.0,7.0,High
Yes,Artist,0.0,2.0,Average
Yes,Entertainment,0.0,4.0,Average
Yes,Artist,2.0,1.0,Low
Yes,Lawyer,,1.0,Low
No,Engineer,0.0,5.0,Average
No,Artist,1.0,4.0,High
Yes,Artist,1.0,2.0,Low
No,Lawyer,1.0,1.0,Low
No,Executive,5.0,2.0,Low
No,,7.0,7.0,Average
No,Executive,,4.0,High
No,Healthcare,1.0,3.0,Low
Yes,Artist,,3.0,Average
Yes,Doctor,0.0,8.0,Average
No,Engineer,0.0,2.0,Low
No,Healthcare,1.0,3.0,Low
Yes,Executive,0.0,4.0,High
Yes,Artist,0.0,2.0,Average
Yes,Executive,0.0,3.0,High
No,Executive,0.0,4.0,High
Yes,Artist,0.0,1.0,Low
No,Entertainment,8.0,4.0,Average
No,Entertainment,0.0,2.0,Low
Yes,Artist,3.0,2.0,Low
No,Healthcare,8.0,3.0,Low
No,Executive,1.0,4.0,Low
Yes,Artist,9.0,1.0,Low
Yes,Artist,,1.0,Low
No,Healthcare,0.0,5.0,Low
No,Doctor,0.0,2.0,Low
Yes,Healthcare,9.0,1.0,Low
Yes,Engineer,0.0,4.0,Low
No,Doctor,12.0,4.0,Low
No,Healthcare,11.0,2.0,High
Yes,Healthcare,,2.0,Low
No,Healthcare,1.0,4.0,Low
No,Homemaker,,2.0,Low
Yes,Healthcare,1.0,6.0,High
Yes,Engineer,,3.0,Average
Yes,Artist,1.0,1.0,Low
Yes,Artist,1.0,2.0,Low
Yes,Lawyer,1.0,1.0,Low
Yes,Executive,0.0,3.0,High
Yes,Artist,4.0,1.0,Low
No,Healthcare,1.0,4.0,Low
Yes,Entertainment,1.0,2.0,Low
Yes,Entertainment,0.0,1.0,Low
No,Engineer,7.0,2.0,Low
Yes,Artist,1.0,4.0,Average
Yes,Artist,0.0,1.0,Low
Yes,Entertainment,1.0,,Low
Yes,Engineer,0.0,4.0,High
Yes,Artist,0.0,2.0,Average
Yes,Artist,7.0,2.0,Average
Yes,Artist,1.0,3.0,Low
No,Healthcare,1.0,2.0,Low
No,Artist,0.0,3.0,Low
Yes,Executive,1.0,3.0,High
No,Engineer,1.0,2.0,Average
Yes,Artist,1.0,1.0,Low
Yes,Marketing,1.0,2.0,High
Yes,Lawyer,0.0,2.0,Average
Yes,Entertainment,1.0,4.0,Low
Yes,Artist,5.0,2.0,Average
No,Lawyer,0.0,1.0,Low
Yes,Artist,1.0,3.0,Average
Yes,Artist,9.0,2.0,Average
No,Doctor,8.0,2.0,Average
Yes,Artist,7.0,2.0,Low
Yes,Entertainment,1.0,5.0,Average
Yes,Artist,0.0,2.0,Low
Yes,Homemaker,13.0,3.0,Average
Yes,Artist,9.0,1.0,Low
Yes,Healthcare,1.0,5.0,Low
Yes,Artist,9.0,1.0,Low
No,Executive,0.0,4.0,High
Yes,Entertainment,8.0,3.0,Low
Yes,Artist,4.0,1.0,Low
No,Engineer,9.0,7.0,Low
Yes,Healthcare,9.0,1.0,Low
No,Healthcare,0.0,3.0,Low
Yes,Artist,0.0,4.0,Average
Yes,Lawyer,1.0,2.0,High
Yes,Entertainment,9.0,1.0,Low
Yes,Doctor,1.0,4.0,Average
Yes,Engineer,8.0,4.0,Average
No,Doctor,9.0,2.0,Low
Yes,Engineer,1.0,2.0,Low
No,Lawyer,1.0,1.0,Low
Yes,Artist,9.0,1.0,Low
Yes,Artist,0.0,3.0,Average
Yes,Marketing,9.0,3.0,Low
Yes,Artist,1.0,2.0,Low
No,Engineer,1.0,2.0,Low
Yes,Lawyer,0.0,2.0,Low
Yes,Executive,0.0,2.0,High
No,Entertainment,3.0,3.0,Average
Yes,Doctor,5.0,3.0,Average
Yes,Artist,0.0,2.0,Average
No,Engineer,,3.0,Low
Yes,Entertainment,6.0,2.0,Average
Yes,Engineer,1.0,4.0,Average
Yes,Artist,8.0,2.0,Average
No,Artist,1.0,2.0,Average
Yes,Artist,7.0,4.0,High
Yes,Lawyer,1.0,2.0,High
No,Executive,4.0,4.0,High
No,Entertainment,1.0,,Low
Yes,Artist,,1.0,Low
No,Healthcare,0.0,6.0,Low
Yes,Entertainment,0.0,4.0,Average
Yes,Executive,,1.0,Low
Yes,Healthcare,4.0,3.0,High
Yes,Artist,1.0,1.0,Low
No,Executive,0.0,4.0,High
Yes,Executive,1.0,,Low
Yes,Marketing,0.0,1.0,Low
Yes,Lawyer,1.0,,Low
Yes,Executive,0.0,3.0,Low
Yes,Artist,9.0,1.0,Low
Yes,Artist,1.0,4.0,Average
No,Artist,1.0,5.0,Low
Yes,Executive,1.0,4.0,High
Yes,Executive,,4.0,High
No,Artist,8.0,5.0,High
No,Homemaker,9.0,2.0,Average
No,Healthcare,5.0,4.0,Low
Yes,Entertainment,1.0,3.0,Low
No,Healthcare,1.0,3.0,Low
Yes,Doctor,0.0,4.0,Low
Yes,Artist,0.0,2.0,Low
Yes,Artist,5.0,4.0,Average
No,Healthcare,8.0,6.0,Low
No,Executive,,3.0,High
Yes,Artist,,,Low
No,Entertainment,1.0,3.0,Low
No,Lawyer,,1.0,Low
Yes,Entertainment,,,Low
Yes,Doctor,7.0,2.0,Average
Yes,Healthcare,1.0,3.0,Low
No,Healthcare,0.0,4.0,Low
Yes,Healthcare,4.0,3.0,Low
Yes,Artist,0.0,7.0,High
Yes,Engineer,8.0,3.0,Low
No,Lawyer,,2.0,Low
Yes,Artist,7.0,3.0,Low
No,Healthcare,1.0,4.0,Low
No,Lawyer,,,Low
Yes,Entertainment,1.0,2.0,Low
Yes,Engineer,1.0,2.0,Low
No,Engineer,1.0,9.0,Low
No,Artist,9.0,2.0,Low
Yes,Artist,5.0,1.0,Low
Yes,Artist,3.0,1.0,Low
Yes,Executive,1.0,3.0,Average
No,Engineer,1.0,3.0,Low
Yes,Artist,8.0,1.0,Low
Yes,Artist,,2.0,Low
No,Artist,1.0,9.0,High
No,Healthcare,8.0,5.0,Low
No,Entertainment,6.0,2.0,Average
Yes,Healthcare,1.0,1.0,Low
Yes,Doctor,9.0,2.0,Average
No,Artist,14.0,1.0,Low
Yes,Lawyer,0.0,1.0,Low
No,Entertainment,2.0,7.0,Low
No,Marketing,1.0,5.0,Low
Yes,Homemaker,1.0,1.0,Low
No,Healthcare,,6.0,Low
No,Doctor,1.0,4.0,Low
Yes,Artist,9.0,2.0,Average
Yes,Artist,1.0,,Average
Yes,Artist,1.0,3.0,Low
No,Engineer,0.0,7.0,Low
Yes,Lawyer,1.0,1.0,Low
Yes,Artist,,2.0,Low
Yes,Artist,0.0,2.0,Average
Yes,Artist,0.0,2.0,Average
Yes,Healthcare,8.0,1.0,Low
Yes,Engineer,1.0,1.0,Low
No,Artist,13.0,1.0,Low
No,Healthcare,1.0,3.0,Low
Yes,Healthcare,4.0,5.0,Low
No,Entertainment,0.0,2.0,Low
Yes,Artist,0.0,5.0,Average
Yes,Doctor,,2.0,Low
Yes,Doctor,1.0,1.0,Low
Yes,Executive,5.0,3.0,High
Yes,Lawyer,0.0,1.0,Low
No,Healthcare,0.0,4.0,Low
No,Marketing,2.0,2.0,Low
Yes,Doctor,0.0,4.0,High
Yes,Artist,8.0,2.0,Low
No,Marketing,1.0,1.0,Low
Yes,Healthcare,0.0,4.0,Low
Yes,Lawyer,0.0,2.0,High
Yes,Artist,0.0,1.0,Low
No,Entertainment,1.0,3.0,Average
Yes,Engineer,7.0,4.0,High
Yes,Healthcare,,1.0,Low
Yes,Engineer,1.0,1.0,Low
Yes,Healthcare,0.0,4.0,Low
No,Lawyer,1.0,1.0,Low
No,Artist,4.0,1.0,Low
Yes,Lawyer,0.0,5.0,Low
Yes,Artist,0.0,2.0,Average
No,Healthcare,2.0,5.0,Low
Yes,Artist,0.0,3.0,Low
No,Healthcare,1.0,4.0,Low
Yes,Artist,1.0,3.0,Average
No,Healthcare,0.0,5.0,Low
Yes,Doctor,6.0,2.0,Average
Yes,Lawyer,0.0,2.0,High
No,,5.0,3.0,Low
Yes,Entertainment,9.0,3.0,High
No,Healthcare,1.0,5.0,Low
Yes,Lawyer,0.0,5.0,Low
Yes,Entertainment,1.0,2.0,Low
Yes,Artist,1.0,2.0,High
Yes,Artist,0.0,4.0,High
No,Artist,0.0,3.0,Average
No,Marketing,2.0,6.0,Low
Yes,Artist,0.0,1.0,Low
Yes,Artist,0.0,3.0,Low
No,Executive,,3.0,Average
No,Engineer,6.0,2.0,Average
No,Lawyer,1.0,2.0,Low
Yes,Artist,3.0,2.0,Average
No,Healthcare,1.0,4.0,Low
Yes,Artist,0.0,1.0,Low
Yes,Doctor,9.0,4.0,Average
Yes,Executive,0.0,3.0,High
Yes,Artist,1.0,4.0,Average
No,Entertainment,2.0,3.0,Low
Yes,Entertainment,1.0,2.0,Low
No,Doctor,1.0,3.0,Average
Yes,Healthcare,,4.0,Low
Yes,Doctor,1.0,1.0,Low
Yes,Engineer,8.0,3.0,Low
No,Executive,,4.0,High
Yes,Entertainment,7.0,2.0,Average
No,Entertainment,1.0,2.0,Average
Yes,Entertainment,1.0,,High
Yes,Artist,9.0,1.0,Low
No,Healthcare,0.0,4.0,Low
No,,2.0,2.0,Low
Yes,Entertainment,1.0,1.0,Low
No,Healthcare,,4.0,Low
Yes,Artist,1.0,3.0,Average
Yes,Lawyer,0.0,2.0,Low
Yes,Artist,0.0,1.0,Low
No,Lawyer,0.0,1.0,Low
Yes,Artist,0.0,1.0,Low
No,Artist,,2.0,Low
Yes,Engineer,9.0,2.0,Average
Yes,Doctor,0.0,3.0,Low
Yes,Artist,,3.0,Average
Yes,Artist,7.0,3.0,Average
Yes,Artist,1.0,4.0,Average
Yes,Artist,9.0,2.0,Low
Yes,Artist,1.0,4.0,High
Yes,Lawyer,0.0,3.0,High
No,Entertainment,1.0,2.0,High
No,Lawyer,1.0,2.0,Low
Yes,Artist,9.0,2.0,Average
Yes,Artist,0.0,2.0,Low
No,Doctor,0.0,4.0,Average
Yes,Artist,4.0,2.0,Average
Yes,Artist,8.0,1.0,Low
Yes,Artist,3.0,2.0,Average
Yes,Healthcare,0.0,7.0,Low
Yes,Artist,0.0,1.0,Low
Yes,Artist,1.0,2.0,Average
Yes,Executive,0.0,3.0,High
No,Entertainment,1.0,2.0,Average
Yes,Lawyer,1.0,2.0,High
No,Artist,2.0,2.0,Low
No,Entertainment,0.0,1.0,Low
Yes,Healthcare,9.0,3.0,High
No,Doctor,,6.0,Low
Yes,Executive,,9.0,High
No,Doctor,0.0,5.0,Low
No,Lawyer,1.0,2.0,Low
Yes,Artist,0.0,3.0,Average
No,Artist,1.0,3.0,Low
Yes,Artist,0.0,2.0,Low
No,Lawyer,,1.0,Low
Yes,Engineer,0.0,7.0,Low
Yes,Healthcare,0.0,4.0,Low
No,Healthcare,6.0,3.0,Low
No,Doctor,,6.0,High
Yes,Lawyer,2.0,1.0,Low
No,Entertainment,0.0,1.0,Low
Yes,Entertainment,4.0,4.0,Average
Yes,Lawyer,1.0,2.0,Low
Yes,Artist,1.0,3.0,Low
Yes,Artist,7.0,3.0,Average
Yes,Engineer,1.0,4.0,High
Yes,Homemaker,14.0,1.0,Low
No,Entertainment,1.0,3.0,High
Yes,Artist,6.0,,Low
Yes,Entertainment,1.0,1.0,Low
Yes,Doctor,0.0,1.0,Low
Yes,Healthcare,0.0,4.0,Low
No,Artist,,4.0,Low
Yes,Entertainment,7.0,4.0,Average
Yes,Artist,6.0,1.0,Low
No,Entertainment,0.0,4.0,Average
No,Homemaker,9.0,3.0,Low
Yes,Entertainment,1.0,3.0,Average
Yes,Artist,0.0,2.0,Average
Yes,Entertainment,1.0,,Low
Yes,Artist,2.0,4.0,Average
Yes,Healthcare,1.0,4.0,High
Yes,Artist,3.0,3.0,High
Yes,Artist,1.0,6.0,Average
Yes,Artist,3.0,1.0,Low
No,Lawyer,0.0,1.0,Low
No,Executive,10.0,3.0,High
No,Homemaker,,2.0,Low
Yes,Artist,7.0,1.0,Low
Yes,Artist,1.0,3.0,Average
Yes,Homemaker,,1.0,Low
Yes,Artist,,4.0,High
Yes,Artist,1.0,4.0,Average
Yes,,1.0,4.0,Average
Yes,Executive,,2.0,High
Yes,Artist,,1.0,Low
No,Entertainment,0.0,1.0,Low
No,Engineer,1.0,2.0,High
Yes,Lawyer,1.0,1.0,Low
No,Entertainment,5.0,2.0,Average
Yes,Artist,1.0,3.0,Low
Yes,Artist,1.0,1.0,Low
Yes,Healthcare,0.0,6.0,Low
No,Doctor,,4.0,Low
Yes,Doctor,0.0,3.0,Low
Yes,Healthcare,9.0,2.0,Low
No,Doctor,5.0,4.0,Low
No,Lawyer,0.0,1.0,Low
Yes,Entertainment,,3.0,Average
Yes,Artist,0.0,3.0,Average
Yes,Artist,0.0,4.0,Average
Yes,Artist,9.0,2.0,High
No,Healthcare,1.0,4.0,Low
Yes,Artist,2.0,1.0,Low
Yes,Homemaker,2.0,2.0,Average
No,Entertainment,1.0,2.0,Low
Yes,Marketing,0.0,2.0,Average
Yes,Artist,1.0,2.0,High
No,Entertainment,1.0,3.0,Average
Yes,Healthcare,1.0,2.0,Low
Yes,Lawyer,0.0,2.0,High
No,Healthcare,1.0,5.0,Low
Yes,Entertainment,0.0,2.0,Average
No,Entertainment,0.0,3.0,Average
No,Engineer,,1.0,Low
No,Healthcare,1.0,3.0,Low
Yes,Artist,,1.0,Low
Yes,Lawyer,1.0,1.0,Low
Yes,Artist,3.0,3.0,Low
No,Engineer,0.0,1.0,Low
Yes,Artist,0.0,1.0,Low
Yes,Artist,,4.0,Average
Yes,Executive,0.0,2.0,High
No,Entertainment,0.0,1.0,Low
No,Engineer,0.0,3.0,Low
Yes,Artist,6.0,1.0,Low
No,Healthcare,6.0,3.0,Low
Yes,Doctor,8.0,1.0,Low
Yes,Artist,4.0,3.0,Average
Yes,Engineer,0.0,,Average
No,Doctor,0.0,2.0,Low
No,Entertainment,1.0,4.0,Average
No,Engineer,0.0,2.0,Low
Yes,Healthcare,3.0,4.0,Low
Yes,Homemaker,5.0,1.0,Low
Yes,Lawyer,1.0,1.0,Low
Yes,Lawyer,1.0,2.0,High
No,Doctor,3.0,2.0,Low
Yes,Entertainment,0.0,2.0,Low
No,Healthcare,0.0,,Low
Yes,Engineer,0.0,6.0,Low
Yes,Engineer,10.0,1.0,Low
Yes,Artist,7.0,2.0,High
No,Healthcare,1.0,4.0,Low
Yes,Lawyer,4.0,1.0,Low
No,Executive,0.0,2.0,High
Yes,Healthcare,,3.0,Low
Yes,Artist,0.0,2.0,Average
Yes,Entertainment,4.0,2.0,Low
,Artist,2.0,3.0,Average
Yes,Artist,2.0,1.0,Low
No,Homemaker,6.0,1.0,Low
No,Artist,8.0,4.0,Low
No,Healthcare,2.0,,Low
Yes,,1.0,4.0,Average
No,Engineer,1.0,4.0,High
Yes,Artist,,1.0,Low
Yes,Artist,1.0,2.0,Low
No,Engineer,0.0,1.0,Low
Yes,Entertainment,1.0,1.0,Low
Yes,Executive,1.0,4.0,High
Yes,Artist,0.0,2.0,Average
No,Healthcare,,5.0,Low
Yes,Doctor,9.0,1.0,Low
No,Doctor,0.0,4.0,Low
Yes,Artist,0.0,2.0,Average
Yes,Healthcare,8.0,2.0,High
Yes,Executive,2.0,3.0,High
No,Entertainment,1.0,2.0,Low
Yes,Artist,1.0,3.0,Low
Yes,Engineer,0.0,4.0,Low
No,Executive,,4.0,High
No,Homemaker,1.0,1.0,Low
Yes,Healthcare,5.0,4.0,High
Yes,Artist,0.0,4.0,Average
Yes,Entertainment,1.0,3.0,Low
Yes,Artist,9.0,4.0,Low
Yes,Artist,0.0,4.0,Low
Yes,Engineer,1.0,2.0,Average
No,Engineer,1.0,1.0,Low
Yes,Artist,8.0,4.0,Low
No,Executive,1.0,2.0,High
Yes,Artist,,2.0,Low
Yes,Lawyer,0.0,2.0,Low
Yes,Artist,6.0,2.0,High
No,Healthcare,0.0,5.0,Low
Yes,Healthcare,0.0,2.0,Low
No,Healthcare,0.0,3.0,Low
Yes,Executive,0.0,2.0,High
Yes,Homemaker,9.0,,Low
No,Entertainment,8.0,5.0,Low
No,Healthcare,0.0,3.0,Low
Yes,Executive,0.0,1.0,High
No,Engineer,1.0,3.0,Average
Yes,Artist,11.0,2.0,Average
Yes,Artist,1.0,2.0,Average
Yes,Artist,0.0,2.0,Average
Yes,Engineer,9.0,5.0,Low
Yes,Artist,9.0,1.0,Low
No,Doctor,4.0,3.0,Low
No,Artist,6.0,3.0,Average
Yes,Engineer,4.0,2.0,Low
No,Marketing,0.0,2.0,Average
No,Doctor,0.0,2.0,Low
Yes,Doctor,1.0,3.0,Low
Yes,Homemaker,11.0,1.0,Low
Yes,Doctor,,3.0,Low
Yes,Artist,8.0,1.0,Low
Yes,Artist,0.0,1.0,Low
Yes,Engineer,8.0,2.0,Low
Yes,Healthcare,1.0,1.0,Low
No,Doctor,5.0,1.0,Low
Yes,Artist,9.0,5.0,Low
Yes,Entertainment,1.0,1.0,Low
No,Executive,,4.0,High
No,Entertainment,1.0,4.0,Low
No,Executive,1.0,3.0,High
Yes,Artist,9.0,2.0,Low
Yes,Entertainment,0.0,1.0,Low
,,2.0,5.0,High
Yes,Engineer,0.0,3.0,Low
Yes,Healthcare,9.0,3.0,Low
Yes,Entertainment,9.0,5.0,Low
Yes,Artist,3.0,4.0,Average
No,Doctor,0.0,3.0,Low
Yes,Artist,0.0,4.0,Average
,Engineer,5.0,2.0,Low
Yes,Healthcare,6.0,,Low
Yes,Executive,3.0,3.0,High
No,Lawyer,0.0,2.0,High
Yes,Entertainment,3.0,2.0,Average
Yes,Artist,9.0,1.0,Low
Yes,Healthcare,1.0,1.0,Low
Yes,Executive,0.0,2.0,Low
Yes,Artist,0.0,2.0,Low
Yes,,3.0,2.0,Low
Yes,Doctor,1.0,1.0,Low
No,Artist,0.0,3.0,High
Yes,Engineer,1.0,3.0,High
Yes,Artist,6.0,2.0,Low
No,Entertainment,6.0,8.0,Low
Yes,Artist,1.0,3.0,Average
Yes,Entertainment,3.0,3.0,Low
No,Artist,,3.0,Average
Yes,Doctor,0.0,1.0,Low
No,Artist,6.0,2.0,Low
Yes,Artist,1.0,2.0,Low
No,Healthcare,,4.0,Low
Yes,Lawyer,1.0,2.0,High
No,Engineer,0.0,2.0,Average
No,Healthcare,1.0,4.0,Low
Yes,Artist,3.0,4.0,High
Yes,Entertainment,,1.0,Low
Yes,Doctor,1.0,4.0,Low
Yes,Executive,0.0,4.0,High
Yes,Artist,,2.0,High
Yes,Entertainment,5.0,1.0,Low
Yes,Artist,0.0,1.0,Low
No,Entertainment,7.0,5.0,Average
Yes,Artist,0.0,4.0,Low
Yes,Artist,0.0,2.0,Low
Yes,Artist,8.0,2.0,Average
Yes,Doctor,1.0,1.0,Low
Yes,Artist,,4.0,Average
No,Doctor,0.0,4.0,Low
No,Entertainment,0.0,2.0,Low
Yes,Homemaker,1.0,6.0,Low
Yes,Healthcare,3.0,3.0,Average
Yes,Doctor,0.0,4.0,Low
No,Engineer,0.0,1.0,Low
Yes,Homemaker,9.0,1.0,Low
Yes,Artist,2.0,1.0,Low
Yes,Artist,0.0,2.0,High
No,Homemaker,13.0,1.0,Low
Yes,Doctor,0.0,5.0,High
No,,1.0,2.0,Low
,Entertainment,1.0,2.0,High
Yes,Entertainment,1.0,1.0,Low
Yes,Artist,2.0,2.0,High
Yes,Engineer,2.0,1.0,Low
Yes,Artist,2.0,6.0,Average
Yes,Artist,0.0,1.0,Low
Yes,Doctor,0.0,2.0,Average
No,Healthcare,1.0,3.0,Low
No,Doctor,5.0,5.0,Low
No,Healthcare,0.0,5.0,Low
Yes,Artist,1.0,1.0,Low
No,Entertainment,,2.0,Low
Yes,Artist,0.0,4.0,High
No,Engineer,8.0,2.0,Low
Yes,Entertainment,0.0,4.0,Average
No,Healthcare,0.0,4.0,Low
Yes,Engineer,1.0,3.0,Average
Yes,Healthcare,1.0,3.0,Low
Yes,Artist,5.0,2.0,High
Yes,Lawyer,1.0,1.0,Low
No,Engineer,2.0,7.0,Low
No,Engineer,0.0,4.0,Low
No,Entertainment,1.0,,High
Yes,Entertainment,0.0,1.0,Low
Yes,Entertainment,0.0,2.0,Low
Yes,Healthcare,1.0,4.0,Low
No,Healthcare,0.0,5.0,Low
Yes,Artist,6.0,3.0,Low
No,Entertainment,0.0,4.0,Average
No,Artist,2.0,2.0,Low
No,Healthcare,1.0,4.0,Low
Yes,Marketing,0.0,1.0,Low
No,Healthcare,3.0,3.0,Low
Yes,Artist,0.0,2.0,High
No,Homemaker,,1.0,Low
No,Engineer,3.0,1.0,Low
Yes,Artist,,3.0,High
No,Healthcare,0.0,4.0,Low
Yes,Artist,1.0,1.0,Low
No,Engineer,0.0,7.0,Average
No,Healthcare,5.0,4.0,Low
No,Healthcare,2.0,6.0,Low
Yes,Healthcare,1.0,7.0,Average
No,Doctor,0.0,4.0,Low
Yes,Artist,0.0,2.0,Low
Yes,Healthcare,8.0,2.0,Low
No,Healthcare,1.0,6.0,Low
Yes,Artist,0.0,6.0,Average
Yes,Marketing,1.0,3.0,Low
Yes,Lawyer,0.0,2.0,High
Yes,Artist,0.0,1.0,Low
No,Healthcare,0.0,,Low
No,Healthcare,0.0,8.0,Low
No,Artist,0.0,4.0,Average
No,Doctor,0.0,2.0,Low
No,Doctor,0.0,2.0,Average
No,Entertainment,,,Average
,Healthcare,3.0,4.0,Low
Yes,Artist,1.0,1.0,Low
Yes,Artist,,4.0,Low
Yes,Artist,,3.0,Average
Yes,Entertainment,9.0,2.0,Low
Yes,Artist,1.0,2.0,Low
Yes,Entertainment,8.0,2.0,Average
No,Doctor,0.0,3.0,Low
Yes,Engineer,0.0,2.0,Low
Yes,Artist,0.0,2.0,Low
Yes,Artist,9.0,3.0,Average
Yes,Lawyer,0.0,2.0,Low
Yes,Artist,0.0,3.0,Low
Yes,Artist,4.0,2.0,Average
Yes,Artist,1.0,4.0,Average
No,Artist,3.0,7.0,Low
Yes,Engineer,7.0,1.0,Low
No,Healthcare,1.0,4.0,Low
No,Lawyer,0.0,,Low
Yes,Artist,0.0,1.0,Low
No,Healthcare,,4.0,Low
No,Homemaker,9.0,2.0,Average
Yes,Homemaker,13.0,1.0,Low
Yes,Entertainment,1.0,2.0,High
Yes,Artist,1.0,2.0,Average
No,Healthcare,1.0,3.0,Average
No,Engineer,8.0,2.0,High
No,Healthcare,0.0,2.0,Low
No,Healthcare,,4.0,Low
No,Engineer,,1.0,Low
No,Doctor,0.0,3.0,Low
Yes,Entertainment,1.0,4.0,Average
No,Executive,0.0,4.0,Average
Yes,Doctor,0.0,5.0,Low
Yes,Artist,8.0,3.0,Average
No,Doctor,1.0,3.0,Low
Yes,Marketing,,3.0,Low
No,Engineer,0.0,3.0,Low
No,Doctor,8.0,4.0,Low
No,Engineer,8.0,8.0,Low
Yes,Artist,1.0,1.0,Low
No,,1.0,4.0,Low
Yes,Entertainment,0.0,4.0,Low
Yes,Lawyer,3.0,1.0,Low
Yes,Artist,0.0,4.0,Average
No,Lawyer,0.0,9.0,Low
Yes,Artist,1.0,3.0,High
Yes,Lawyer,,2.0,High
No,Artist,2.0,3.0,High
Yes,Artist,0.0,2.0,Average
Yes,Executive,,6.0,Low
Yes,Entertainment,1.0,3.0,Average
Yes,Executive,9.0,2.0,High
No,Engineer,2.0,4.0,Low
Yes,Executive,0.0,3.0,High
Yes,Artist,1.0,1.0,Low
Yes,Artist,0.0,2.0,Low
Yes,Entertainment,2.0,2.0,Average
No,,,2.0,Low
No,Executive,1.0,2.0,Average
Yes,Artist,9.0,4.0,High
No,Healthcare,1.0,5.0,Low
Yes,Engineer,1.0,4.0,Average
Yes,Artist,1.0,5.0,Average
Yes,Doctor,,7.0,Low
Yes,Artist,0.0,3.0,Low
No,Healthcare,0.0,5.0,Low
Yes,Healthcare,1.0,1.0,Low
No,Doctor,3.0,4.0,Low
No,Artist,1.0,4.0,Average
No,,8.0,,Low
No,Healthcare,5.0,4.0,Low
Yes,Doctor,9.0,,Low
Yes,Entertainment,1.0,3.0,Low
Yes,Artist,4.0,,Average
No,Healthcare,0.0,3.0,Low
No,Entertainment,0.0,3.0,Low
No,Entertainment,1.0,6.0,Average
Yes,Healthcare,,,Low
Yes,Homemaker,8.0,1.0,Low
No,Artist,8.0,1.0,Low
Yes,Lawyer,1.0,1.0,Low
Yes,Doctor,8.0,3.0,Average
Yes,Engineer,1.0,3.0,Low
Yes,Artist,1.0,3.0,Average
No,Entertainment,1.0,3.0,Low
Yes,Entertainment,0.0,1.0,Low
Yes,Homemaker,2.0,3.0,Average
Yes,Lawyer,0.0,1.0,Low
No,Marketing,0.0,2.0,Low
Yes,Entertainment,5.0,3.0,Low
Yes,Artist,1.0,1.0,Low
Yes,Artist,8.0,2.0,High
,Artist,1.0,2.0,Average
Yes,Engineer,,2.0,Low
No,Engineer,1.0,2.0,Low
Yes,Artist,,5.0,Average
Yes,Doctor,1.0,2.0,Low
Yes,Artist,6.0,1.0,Low
,Engineer,0.0,3.0,Low
Yes,Artist,5.0,1.0,Low
Yes,Artist,1.0,3.0,Low
Yes,Healthcare,9.0,3.0,Low
Yes,Executive,9.0,4.0,High
Yes,Artist,0.0,1.0,Low
Yes,,8.0,2.0,Low
Yes,Marketing,8.0,2.0,Low
Yes,Artist,0.0,2.0,High
Yes,Entertainment,,2.0,Average
Yes,Doctor,,4.0,Low
Yes,Artist,1.0,5.0,Average
,Marketing,6.0,1.0,Low
Yes,Doctor,,1.0,Low
Yes,Doctor,0.0,4.0,Low
No,Healthcare,,3.0,Low
Yes,Artist,0.0,2.0,Average
Yes,Healthcare,8.0,3.0,Low
Yes,Executive,0.0,5.0,High
Yes,Artist,1.0,2.0,Average
Yes,Artist,14.0,2.0,Average
Yes,Marketing,,5.0,Low
No,Entertainment,1.0,1.0,Low
Yes,Doctor,7.0,3.0,Average
Yes,Lawyer,0.0,5.0,High
No,Artist,0.0,4.0,Low
